,doi,authors,title,abstract,issue
50,10.1145/3287047,"Eiichi Iwamoto, Masaki Matsubara, Chihiro Ota, Satoshi Nakamura, Tsutomu Terada, Hiroyuki Kitagawa, Atsuyuki Morishima",Passerby Crowdsourcing: Workers' Behavior and Data Quality Management,"Worker recruitment is one of the important problems in crowdsourcing, and many proposals have been presented for placing equipment in physical spaces for recruiting workers. One of the essential challenges of the approach is how to keep people attracted because those who perform tasks at first gradually lose interest and do not access the equipment. This study uses a different approach to the worker recruitment problem. In our approach, we dive into people's personal spaces by projecting task images on the floor, thereby allowing the passersby to effortlessly access tasks while walking. The problem then changes from how to keep people engaged to how to manage data quality because many passersby unconsciously or intentionally walk through the task screen on the floor without doing the task, which produces unintended results. We explore a machine-learning approach to select only the intended results and manage the data quality. The system assesses the workers' intention from their behavior. We identify the features for classifiers based on our observations of the passersby. We then conduct extensive evaluations with real data. The results show that the features are effective in practice, and the classifiers improve the data quality.","Volume 2 Issue 4, December 2018"
51,10.1145/3287048,"Mohit Jain, Pratyush Kumar, Ishita Bhansali, Q. Vera Liao, Khai Truong, Shwetak Patel",FarmChat: A Conversational Agent to Answer Farmer Queries,"Farmers constitute 54.6% of the Indian population, but earn only 13.9% of the national GDP. This gross mismatch can be alleviated by improving farmers' access to information and expert advice (e.g., knowing which seeds to sow and how to treat pests can significantly impact yield). In this paper, we report our experience of designing a conversational agent, called FarmChat, to meet the information needs of farmers in rural India. We conducted an evaluative study with 34 farmers near Ranchi in India, focusing on assessing the usability of the system, acceptability of the information provided, and understanding the user population's unique preferences, needs, and challenges in using the technology. We performed a comparative study with two different modalities: audio-only and audio+text. Our results provide a detailed understanding on how literacy level, digital literacy, and other factors impact users' preferences for the interaction modality. We found that a conversational agent has the potential to effectively meet the information needs of farmers at scale. More broadly, our results could inform future work on designing conversational agents for user populations with limited literacy and technology experience.","Volume 2 Issue 4, December 2018"
52,10.1145/3287049,"Timo Jakobi, Gunnar Stevens, Nico Castelli, Corinna Ogonowski, Florian Schaub, Nils Vindice, Dave Randall, Peter Tolmie, Volker Wulf",Evolving Needs in IoT Control and Accountability: A Longitudinal Study on Smart Home Intelligibility,"A key issue for smart home systems is supporting non-expert users in their management. Whereas feedback design on use cases (such as energy feedback) have gained attention, current approaches to providing awareness on the system state typically provide a rather technical view. Long-term investigations of the practices and resources needed for maintaining Do-It-Yourself smart home systems, are particularly scarce. We report on a design case study in which we equipped 12 households with DIY smart home systems for two years and studied participants' strategies for maintaining system awareness, from learning about its workings to monitoring its behavior. We find that people's needs regarding system accountability changed over time. Their privacy needs were also affected over the same period. We found that participants initially looked for in-depth awareness information from the dedicated web-based dashboard. In the later phases of appropriation, however, their interaction and information needs shifted towards management by exception on mobile or ambient displays -- only focusing on the system when things were 'going wrong'. In terms of system accountability, we find that a system's self-declaration should focus on being socially meaningful rather than technically complete, for instance by relating itself to people's activities and the home routines.","Volume 2 Issue 4, December 2018"
53,10.1145/3287050,"Kasthuri Jayarajah, Archan Misra",Predicting Episodes of Non-Conformant Mobility in Indoor Environments,"Traditional mobility prediction literature focuses primarily on improved methods to extract latent patterns from individual-specific movement data. When such predictions are incorrect, we ascribe it to 'random' or 'unpredictable' changes in a user's movement behavior. Our hypothesis, however, is that such apparently-random deviations from daily movement patterns can, in fact, of ten be anticipated. In particular, we develop a methodology for predicting Likelihood of Future Non-Conformance (LFNC), based on two central hypotheses: (a) the likelihood of future deviations in movement behavior is positively correlated to the intensity of such trajectory deviations observed in the user's recent past, and (b) the likelihood of such future deviations increases if the user's strong-ties have also recently exhibited such non-conformant movement behavior. We use extensive longitudinal indoor location data (spanning 4+ months) from an urban university campus to validate these hypotheses, and then show that these features can be used to build an accurate non-conformance predictor: it can predict non-conformant mobility behavior two hours in advance with an AUC ≥ 0.85, significantly outperforming the baseline. We also show that this prediction methodology holds for a representative outdoor public-transport based mobility dataset. Finally, we use a real-world mobile crowd-sourcing application to show the practical impact of such non-conformance: failure to identify such likely anomalous movement behavior causes workers to suffer a noticeable drop in task completion rates and reduces the spatial spread of successfully completed tasks.","Volume 2 Issue 4, December 2018"
54,10.1145/3287051,"Haojian Jin, Minyi Liu, Kevan Dodhia, Yuanchun Li, Gaurav Srivastava, Matthew Fredrikson, Yuvraj Agarwal, Jason I. Hong",Why Are They Collecting My Data?: Inferring the Purposes of Network Traffic in Mobile Apps,"Many smartphone apps collect potentially sensitive personal data and send it to cloud servers. However, most mobile users have a poor understanding of why their data is being collected. We present MobiPurpose, a novel technique that can take a network request made by an Android app and then classify the data collection purposes, as one step towards making it possible to explain to non-experts the data disclosure contexts. Our purpose inference works by leveraging two observations: 1) developer naming conventions (e.g., URL paths) of ten offer hints as to data collection purposes, and 2) external knowledge, such as app metadata and information about the domain name, are meaningful cues that can be used to infer the behavior of different traffic requests. MobiPurpose parses each traffic request body into key-value pairs, and infers the data type and data collection purpose of each key-value pair using a combination of supervised learning and text pattern bootstrapping. We evaluated MobiPurpose's effectiveness using a dataset cross-labeled by ten human experts. Our results show that MobiPurpose can predict the data collection purpose with an average precision of 84% (among 19 unique categories).","Volume 2 Issue 4, December 2018"
55,10.1145/3287052,"Mohamed Khamis, Ludwig Trotter, Ville Mäkelä, Emanuel von Zezschwitz, Jens Le, Andreas Bulling, Florian Alt","CueAuth: Comparing Touch, Mid-Air Gestures, and Gaze for Cue-based Authentication on Situated Displays","Secure authentication on situated displays (e.g., to access sensitive information or to make purchases) is becoming increasingly important. A promising approach to resist shoulder surfing attacks is to employ cues that users respond to while authenticating; this overwhelms observers by requiring them to observe both the cue itself as well as users' response to the cue. Although previous work proposed a variety of modalities, such as gaze and mid-air gestures, to further improve security, an understanding of how they compare with regard to usability and security is still missing as of today. In this paper, we rigorously compare modalities for cue-based authentication on situated displays. In particular, we provide the first comparison between touch, mid-air gestures, and calibration-free gaze using a state-of-the-art authentication concept. In two in-depth user studies (N=20, N=17) we found that the choice of touch or gaze presents a clear tradeoff between usability and security. For example, while gaze input is more secure, it is also more demanding and requires longer authentication times. Mid-air gestures are slightly slower and more secure than touch but users hesitate to use them in public. We conclude with three significant design implications for authentication using touch, mid-air gestures, and gaze and discuss how the choice of modality creates opportunities and challenges for improved authentication in public.","Volume 2 Issue 4, December 2018"
56,10.1145/3287053,"Auk Kim, Woohyeok Choi, Jungmi Park, Kyeyoon Kim, Uichin Lee",Interrupting Drivers for Interactions: Predicting Opportune Moments for In-vehicle Proactive Auditory-verbal Tasks,"Auditory-verbal interactions with in-vehicle information systems have become increasingly popular for improving driver safety because they obviate the need for distractive visual-manual operations. This opens up new possibilities for enabling proactive auditory-verbal services where intelligent agents proactively provide contextualized recommendations and interactive decision-making. However, prior studies have warned that such interactions may consume considerable attentional resources, thus negatively affecting driving performance. This work aims to develop a machine learning model that can find opportune moments for the driver to engage in proactive auditory-verbal tasks by using the vehicle and environment sensor data. Given that there is a lack of definition about what constitutes interruptibility for auditory-verbal tasks, we first define interruptible moments by considering multiple dimensions and then iteratively develop the experimental framework through an extensive literature review and four pilot studies. We integrate our framework into OsmAnd, an open-source navigation service, and perform a real-road field study with 29 drivers to collect sensor data and user responses. Our machine learning analysis shows that opportune moments for interruption can be conservatively inferred with an accuracy of 0.74. We discuss how our experimental framework and machine learning models can be used to design intelligent auditory-verbal services in practical deployment contexts.","Volume 2 Issue 4, December 2018"
57,10.1145/3287054,"Hyosun Kwon, Joel E. Fischer, Martin Flintham, James Colley",The Connected Shower: Studying Intimate Data in Everyday Life,"This paper presents the design and field study of the Connected Shower, a bespoke IoT device that captures water flow, temperature, shower-head movement, and shower product weight. We deployed the device in six UK homes for a week to understand the use of 'intimate data' as captured by IoT systems. Findings from our contextual interviews unpack a) how such intimate data is collaboratively made sense of by accounting for the social order of showering practices as part and parcel of everyday routines; b) how the data makes details of showering accountable to their partners; c) how people reason about sharing intimate data both with third parties and their partners. Our study shows that intimate data is not intimate per se, nor is intimacy a property of the data, but is an interactional outcome arising from the articulation of shower practices to their co-present partners. Thus, judgments as to whether the data is too sensitive, private, or intimate to share are contingent on situated sense-making and therefore subject to change; however, there was a general consensus that sharing intimate data with service providers was acceptable if the data was sufficiently abstract and anonymised. We discuss challenges in the design of trustworthy data-driven IoT systems, and how they need to be warranted to be both acceptable and adopted into our intimate practices.","Volume 2 Issue 4, December 2018"
58,10.1145/3287055,"Zeshui Li, Haipeng Dai, Wei Wang, Alex X. Liu, Guihai Chen",PCIAS: Precise and Contactless Measurement of Instantaneous Angular Speed Using a Smartphone,"Measuring Instantaneous Angular Speed (IAS) of rotating objects is ubiquitous in industry and our daily life. Engineers diagnose the operation condition of engines with IAS. Anemometers obtain instantaneous wind speed with the IAS of rotating cups. Traditional IAS measurement systems have their limitations in the aspects of installation, accuracy, and cost. In this paper, we propose PCIAS, a system that uses acoustic signals of a smartphone to measure IAS of rotating objects in a contactless manner. PCIAS covers a pretty large IAS measurement range (the numerical interval of IAS) from 10 Revolutions Per Minute (RPM) to 10000 RPM, which outperforms almost all existing Commercial-Off-The-Shelf (COTS) IAS meters. In PCIAS, we first choose an appropriate measurement range according to applications. We then use the smartphone to collect acoustic signals backscattered or generated by the object. Next, we extract acoustic features of the object to eliminate interferences from the environment. After that, we propose a robust tracking algorithm to estimate IAS by matching cycle time length of acoustic features adaptively. We build two testbeds to evaluate the accuracy and the robustness of our system in different IAS ranges. Our experiments show that PCIAS achieves a relative accuracy of more than 92% in the low IAS range, more than 94% in the middle IAS range, and more than 96% in the high IAS range. Finally, We exhibit two typical cases to demonstrate the practical use of our system.","Volume 2 Issue 4, December 2018"
59,10.1145/3287056,"Tianshi Li, Yuvraj Agarwal, Jason I. Hong",Coconut: An IDE Plugin for Developing Privacy-Friendly Apps,"Although app developers are responsible for protecting users' privacy, this task can be very challenging. In this paper, we present Coconut, an Android Studio plugin that helps developers handle privacy requirements by engaging developers to think about privacy during the development process and providing real-time feedback on potential privacy issues. We start by presenting new findings based on a series of semi-structured interviews with Android developers, probing into the difficulties with privacy that developers face when building apps. Based on these findings, we implemented a proof-of-concept prototype of Coconut and evaluated it in a controlled lab study with 18 Android developers (including eight professional developers). Our study results suggest that apps developed with Coconut handled privacy concerns better, and the developers that used Coconut had a better understanding of their code's behavior and wrote a better privacy policy for their app. We also found that requiring developers to do a small amount of annotating work regarding their apps' personal data practices during the development process may result in a significant improvement in app privacy.","Volume 2 Issue 4, December 2018"
60,10.1145/3287057,"Peng Liao, Walter Dempsey, Hillol Sarker, Syed Monowar Hossain, Mustafa al'Absi, Predrag Klasnja, Susan Murphy",Just-in-Time but Not Too Much: Determining Treatment Timing in Mobile Health,"There is a growing scientific interest in the use and development of just-in-time adaptive interventions in mobile health. These mobile interventions typically involve treatments, such as reminders, activity suggestions and motivational messages, delivered via notifications on a smartphone or a wearable to help users make healthy decisions in the moment. To be effective in influencing health, the combination of the right treatment and right delivery time is likely critical. A variety of prediction/detection algorithms have been developed with the goal of pinpointing the best delivery times. The best delivery times might be times of greatest risk and/or times at which the user might be most receptive to the treatment notifications. In addition, to avoid over burdening users, there is of ten a constraint on the number of treatments that should be provided per time interval (e.g., day or week). Yet there may be many more times at which the user is predicted or detected to be at risk and/or receptive. The goal then is to spread treatment uniformly across all of these times. In this paper, we introduce a method that spreads the treatment uniformly across the delivery times. This method can also be used to provide data for learning whether the treatments are effective at the delivery times. This work is motivated by our work on two mobile health studies, a smoking cessation study and a physical activity study.","Volume 2 Issue 4, December 2018"
61,10.1145/3287058,"Héctor A. Cordourier Maruri, Paulo Lopez-Meyer, Jonathan Huang, Willem Marco Beltman, Lama Nachman, Hong Lu",V-Speech: Noise-Robust Speech Capturing Glasses Using Vibration Sensors,"Smart glasses are often used in public environments or industrial scenarios that are relatively noisy. Background noise and sound from competing speakers deteriorate voice communication or performance of automatic speech recognition (ASR). Typically, signal processing techniques are used to reduce noise and enhance voice quality, but they have limitations in performance, hardware and/or computing resources. Voice capturing techniques using bone conducting on the head have been proposed in some experimental and commercial devices, with good robustness against environmental noise, but limited by signal distortions inherent to the capturing method. We present V-Speech, a novel sensing and signal processing solution that enables speech recognition and human-to-human communication in very noisy environments. It captures the voice signal with a vibration sensor located in the nasal pads of smart glasses and performs a transformation to the sensor signal in order to mimic that of a regular microphone in low noise conditions. The signal transformation is key, as it eliminates the ""nasal distortion"" that is introduced for nasal phonemes in the speech induced vibrations of the nasal bone. The output of V-Speech has low noise, sounds natural, and can be used in voice communication or as input to an off-the-shelf ASR service. We evaluated V-Speech in noise-free and noisy conditions with 30 volunteer speakers uttering 145 phrases and validated its performance on ASR engines and with assessments of voice quality using the Perceptual Evaluation of Speech Quality (PESQ) metric. The results show in extreme noise conditions a mean improvement of 50% for Word Error Rate (WER), and 1.0 on a scale of 5.0 for PESQ. In addition, real life recordings were made under various representative noise conditions, some with sound pressure levels of 93 dBA, which require hearing protection. Subjective listening tests were conducted according to a modified ITU P.835 approach to determine intelligibility, naturalness and overall quality. Under these extreme conditions, where V-Speech achieved 30 dB SNR, subjective results show the speech is intelligible, and the naturalness of the speech is rated as fair to good. This enables clear voice communication in challenging work environments, for example in places with industrial, factory, mining and construction noise. With our proposed smart switching technique between a regular microphone signal and V-Speech, the optimal quality can be maintained from low to high noise conditions.","Volume 2 Issue 4, December 2018"
62,10.1145/3287059,"Akshay Uttama Nambi, Adtiya Virmani, Venkata N. Padmanabhan",FarSight: A Smartphone-based Vehicle Ranging System,"Maintaining an adequate separation from the vehicle in front is key to safe driving. While LIDAR and RADAR sensors could be used for ranging, cost considerations and the huge installed base of vehicles that lack these sensors, especially in developing regions, call for a low-cost yet robust alternative. To this end, we present FarSight, a system that performs vehicle ranging using a smartphone mounted on the windshield or the dashboard. FarSight uses the smartphone's camera to identify and draw a bounding box around vehicles in front, based on which ranging is performed. Unlike prior smartphone-based work, FarSight does not depend on any infrastructure support such as standard-width lane markers and works with a heterogeneous mix of vehicles, both of which are characteristics of developing regions. We develop a novel hybrid approach for vehicle detection and tracking, which balances accuracy and speed by combining deep neural network based vehicle detection with vision-based object tracking in a pipelined manner. We also devise data augmentation techniques to improve the effectiveness of vehicle detection, thereby increasing the ranging distance.
We show that FarSight can range accurately in both daytime and nighttime conditions and up to distances of 90 m. We have implemented FarSight as an Android-app and tested it across various phones. Further, we present two ranging-based applications built on FarSight.","Volume 2 Issue 4, December 2018"
63,10.1145/3287060,"Yi Ouyang, Bin Guo, Tong Guo, Longbing Cao, Zhiwen Yu",Modeling and Forecasting the Popularity Evolution of Mobile Apps: A Multivariate Hawkes Process Approach,"In recent years, with the rapid development of mobile app ecosystem, the number and categories of mobile apps have grown tremendously. However, the global prevalence of mobile apps also leads to fierce competition. As a result, many apps will disappear. To thrive in this competitive app market, it is vital for app developers to understand the popularity evolution of their mobile apps, and inform strategic decision-making for better mobile app development. Therefore, it is significant and necessary to model and forecast the future popularity evolution of mobile apps. The popularity evolution of mobile apps is usually a long-term process, affected by various complex factors. However, existing works lack the capabilities to model such complex factors. To better understand the popularity evolution, in this paper, we aim to forecast the popularity evolution of mobile apps by incorporating complex factors, i.e., exogenous stimulis and endogenous excitations. Specifically, we propose a model based on the Multivariate Hawkes Process (MHP), which is an exogenous stimulis-driven self-exciting point process, to model the exogenous stimulis and endogenous excitations simultaneously. Extensive experimental studies on a real-world dataset from app store demonstrate that MHP outperforms the state-of-the-art methods regarding popularity evolution forecasting.","Volume 2 Issue 4, December 2018"
64,10.1145/3287061,"Xinru Page, Paritosh Bahirat, Muhammad I. Safi, Bart P. Knijnenburg, Pamela Wisniewski",The Internet of What?: Understanding Differences in Perceptions and Adoption for the Internet of Things,"This study explores people's perceptions of and attitudes towards Internet of Things (IoT) devices and their resulting (non)adoption behaviors. Based on 38 interviews (19 pairs each consisting of a Millennial and their parent), we found that few had a clear understanding of IoT, even among those who had already adopted it. Rather, they relied on two distinct conceptual models of IoT that shaped their beliefs, concerns, and adoption decisions: Many approached IoT with an ""user-centric"" technology mentality, viewing IoT devices as tools to be controlled by the end-user, and focusing on their tangible aspects (e.g. breakability). Others drew on an ""agentic"" technology perspective, where IoT behaviors were device-driven and, at times, negotiated between the user, other people, and/or the IoT devices. Our study revealed that consumer-oriented IoT currently cater towards the agentic view and raise concerns for those coming from a user-centric perspective. We also found that generational differences in attitudes towards IoT were rather explained by these differing perspectives. Instead of following the trend towards greater automation and agentic modes of interaction, we advocate for a hybrid and personalized approach that supports a spectrum of agentic and user-centric perspectives and provide design recommendations to work towards this end.","Volume 2 Issue 4, December 2018"
65,10.1145/3287062,"Pablo E. Paredes, Stephanie Balters, Kyle Qian, Elizabeth L. Murnane, Francisco Ordóñez, Wendy Ju, James A. Landay",Driving with the Fishes: Towards Calming and Mindful Virtual Reality Experiences for the Car,"We present the use of in-car virtual reality (VR) as a way to create calm, mindful experiences for passengers and, someday, autonomous vehicle occupants. Specifically, we describe a series of studies aimed at exploring appropriate VR content, understanding the influence of car movement, and determining the length and other parameters of the simulation to avoid physical discomfort. Overall, our quantitative and qualitative insights suggest calm VR applications are well suited to an automotive context. Testing combinations of VR content designed to provide the participant with a static or dynamic experience versus stationary and moving vehicle modes, we find that a simulated experience of diving in the ocean while in a moving car elicited significantly lower levels of autonomic arousal as compared with a static VR plus stationary car condition. No significant motion sickness effects were subjectively reported by participants nor observable in the data, though a crossover interaction effect reveals how incongruence between the movement of the car and movement in VR could affect nausea. We conclude with recommendations for the design of calming and mindful VR experiences in moving vehicles.","Volume 2 Issue 4, December 2018"
66,10.1145/3287063,"Rushil Khurana, Karan Ahuja, Zac Yu, Jennifer Mankoff, Chris Harrison, Mayank Goel","GymCam: Detecting, Recognizing and Tracking Simultaneous Exercises in Unconstrained Scenes","Worn sensors are popular for automatically tracking exercises. However, a wearable is usually attached to one part of the body, tracks only that location, and thus is inadequate for capturing a wide range of exercises, especially when other limbs are involved. Cameras, on the other hand, can fully track a user's body, but suffer from noise and occlusion. We present GymCam, a camera-based system for automatically detecting, recognizing and tracking multiple people and exercises simultaneously in unconstrained environments without any user intervention. We collected data in a varsity gym, correctly segmenting exercises from other activities with an accuracy of 84.6%, recognizing the type of exercise at 93.6% accuracy, and counting the number of repetitions to within ± 1.7 on average. GymCam advances the field of real-time exercise tracking by filling some crucial gaps, such as tracking whole body motion, handling occlusion, and enabling single-point sensing for a multitude of users.","Volume 2 Issue 4, December 2018"
67,10.1145/3287064,"Amin Sadri, Flora D. Salim, Yongli Ren, Wei Shao, John C. Krumm, Cecilia Mascolo",What Will You Do for the Rest of the Day?: An Approach to Continuous Trajectory Prediction,"Understanding and predicting human mobility is vital to a large number of applications, ranging from recommendations to safety and urban service planning. In some travel applications, the ability to accurately predict the user's future trajectory is vital for delivering high quality of service. The accurate prediction of detailed trajectories would empower location-based service providers with the ability to deliver more precise recommendations to users. Existing work on human mobility prediction has mainly focused on the prediction of the next location (or the set of locations) visited by the user, rather than on the prediction of the continuous trajectory (sequences of further locations and the corresponding arrival and departure times). Furthermore, existing approaches often return predicted locations as regions with coarse granularity rather than geographical coordinates, which limits the practicality of the prediction.
In this paper, we introduce a novel trajectory prediction problem: given historical data and a user's initial trajectory in the morning, can we predict the user's full trajectory later in the day (e.g. the afternoon trajectory)? The predicted continuous trajectory includes the sequence of future locations, the stay times, and the departure times. We first conduct a comprehensive analysis about the relationship between morning trajectories and the corresponding afternoon trajectories, and found there is a positive correlation between them. Our proposed method combines similarity metrics over the extracted temporal sequences of locations to estimate similar informative segments across user trajectories.
Our evaluation shows results on both labeled and geographical trajectories with a prediction error reduced by 10-35% in comparison to the baselines. This improvement has the potential to enable precise location services, raising usefulness to users to unprecedented levels. We also present empirical evaluations with Markov model and Long Short Term Memory (LSTM), a state-of-the-art Recurrent Neural Network model. Our proposed method is shown to be more effective when smaller number of samples are used and is exponentially more efficient than LSTM.","Volume 2 Issue 4, December 2018"
68,10.1145/3287065,"Ankur Sarker, Haiying Shen",A Data-Driven Misbehavior Detection System for Connected Autonomous Vehicles,"In a Connected and Autonomous Vehicle (CAV) system, some malicious CAVs may send out false information in vehicle-to-vehicle communication to gain benefits or cause safety-related accidents. Previous false data detection methods are not sufficient to meet the accuracy and real-time requirements. In this paper, we propose a data-driven misbehavior detection system (MDS) (running by each CAV) that checks the consistency between the estimated and actually reported driving state (i.e., velocity, acceleration, brake status, steering angle) of an alerting CAV. First, MDS predicts the driving state using Gaussian mixture model based Mixture Density Network incorporating Recurrent Neural Network that can catch the driving behavior patterns of a CAV. Second, MDS extends the existing Krauss traffic flow model and uses it to consider the overall traffic flow of the road to make the predicted driving state more accurate. Finally, for a given received alert, a CAV validates the alert by checking the consistency between the predicted and actually reported driving states of the alerting CAV. We conduct extensive simulation studies based on a real driving dataset we collected from 29 participants and the Simulator for Urban MObility (SUMO) traffic simulator. The experimental results show that the false information detection rate of the proposed MDS is higher than other existing systems in different alert scenarios.","Volume 2 Issue 4, December 2018"
69,10.1145/3287066,"Takuya Sasatani, Chouchang Jack Yang, Matthew J. Chabalko, Yoshihiro Kawahara, Alanson P. Sample",Room-Wide Wireless Charging and Load-Modulation Communication via Quasistatic Cavity Resonance,"The rise of the Internet of Things (IoT) has led to a significant increase in the number of connected devices that stream data in our homes, offices and industrial spaces. However, as the number of these devices increases, the costs of actively maintaining and replacing batteries becomes prohibitive at scale. Recent work on Quasistatic Cavity Resonance (QSCR), offers the possibility of seamless wireless power transfer (WPT) to receivers placed anywhere inside large indoor spaces. This work aims to solve two unexplored and critical missing pieces needed to realize this vision of ubiquitous WPT. First, we demonstrate a full end-to-end QSCR-based WPT system that is capable of simultaneously charging multiple custom designed nodes nearly anywhere in the 4.9 m x 4.9 m x 2.3 m test room. Second, this work utilizes the WPT mechanism as a communication channel, where nodes communicate with a centralized reader and to each other via load modulation. Through analysis and experiments, the proposed system shows that 10 receiver nodes can be safely and efficiently wirelessly charged and the end node to end node communication rate can achieve from 1 kbps without occurring any errors, up to 5 kbps with 6% BER while the end node to central unit can achieve 10 kbps without occurring any errors.","Volume 2 Issue 4, December 2018"
70,10.1145/3287067,"Namrata Srivastava, Joshua Newn, Eduardo Velloso",Combining Low and Mid-Level Gaze Features for Desktop Activity Recognition,"Human activity recognition (HAR) is an important research area due to its potential for building context-aware interactive systems. Though movement-based activity recognition is an established area of research, recognising sedentary activities remains an open research question. Previous works have explored eye-based activity recognition as a potential approach for this challenge, focusing on statistical measures derived from eye movement properties---low-level gaze features---or some knowledge of the Areas-of-Interest (AOI) of the stimulus---high-level gaze features. In this paper, we extend this body of work by employing the addition of mid-level gaze features; features that add a level of abstraction over low-level features with some knowledge of the activity, but not of the stimulus. We evaluated our approach on a dataset collected from 24 participants performing eight desktop computing activities. We trained a classifier extending 26 low-level features derived from existing literature with the addition of 24 novel candidate mid-level gaze features. Our results show an overall classification performance of 0.72 (F1-Score), with up to 4% increase in accuracy when adding our mid-level gaze features. Finally, we discuss the implications of combining low- and mid-level gaze features, as well as the future directions for eye-based activity recognition.","Volume 2 Issue 4, December 2018"
71,10.1145/3287068,"Ryo Takahashi, Takuya Sasatani, Fuminori Okuya, Yoshiaki Narusue, Yoshihiro Kawahara",A Cuttable Wireless Power Transfer Sheet,"We propose a cuttable wireless power transfer sheet which allows users to modify its size and shape. This intuitive manipulation allows users to easily add wireless power transmission capabilities to everyday objects. The properties of the sheet such as thinness, flexibility, and lightness make our sheet highly compatible with various configurations. We contribute a set of technical principles for the design of circuitry, which integrates H-tree wiring and time division power supply techniques. H-tree wiring allows the sheet to remain functional even when cut from the outside of the sheet, whereas time division power supply avoids the reduction in power transfer efficiency caused by the magnetic interference between adjacent transmitter coils. Through the evaluations, we found that our time division power supply scheme mitigates the degradation of power transfer efficiency and successfully improves the average efficiency. Furthermore, we present four applications which integrates our sheet into daily objects: wireless charging furniture, bag, jacket, and craft; these applications confirmed the feasibility of our prototype.","Volume 2 Issue 4, December 2018"
72,10.1145/3287069,"Neille-Ann H. Tan, Han Sha, Eda Celen, Phucanh Tran, Kelly Wang, Gifford Cheung, Philip Hinch, Jeff Huang",Rewind: Automatically Reconstructing Everyday Memories with First-Person Perspectives,"Snapping photos or videos on a smartphone makes recording visual memories convenient, but what isn't captured may still be meaningful in retrospect. In this paper, digital mementos are automatically generated for participants using the Rewind system, which assists the recall of location-based minutiae. Rewind is a video-like medium describing people's daily excursions using a sequence of street-level images determined by self-tracked location data. The Rewinds are color-processed to reflect seasonal, time-of-day and weather characteristics. Through two user studies with a combined 40 users, Rewinds were shown to be used as memory artifacts, and are especially meaningful in the many situations when photos or videos are not available. The small cues in Rewinds evoke longer fragments of memory tied to nostalgic routines or significant events, and the sequence of images provide a first-person perspective of remembrance for users. While they are more generic and can possess inaccuracies, Rewinds give people anchors for memories that feel like their own that are used to craft a narrative for that day. Rewind strikes a balance between automatic logging and manually-curated memories by personalizing it in meaningful visuals and consolidating an otherwise overwhelming amount of data.","Volume 2 Issue 4, December 2018"
73,10.1145/3287070,"Nic Volanschi, Bernard Serpette, Adrien Carteron, Charles Consel","A Language for Online State Processing of Binary Sensors, Applied to Ambient Assisted Living","There is a large variety of binary sensors in use today, and useful context-aware services can be defined using such binary sensors. However, the currently available approaches for programming context-aware services do not conveniently support binary sensors. Indeed, no existing approach simultaneously supports a notion of state, central to binary sensors, offers a complete set of operators to compose states, allows to define reusable abstractions by means of such compositions, and implements efficient online processing of these operators.
This paper proposes a new language for event processing specifically targeted to binary sensors. The central contributions of this language are a native notion of state and semi-causal operators for temporal state composition including: Allen's interval relations generalized for handling multiple intervals, and temporal filters for handling delays. Compared to other approaches such as CEP (complex event processing), our language provides less discontinued information, allows less restricted compositions, and supports reusable abstractions. We implemented an interpreter for our language and applied it to successfully rewrite a full set of real Ambient Assisted Living services. The performance of our prototype interpreter is shown to compete well with a commercial CEP engine when expressing the same services.","Volume 2 Issue 4, December 2018"
74,10.1145/3287071,"Yanwen Wang, Yuanqing Zheng",Modeling RFID Signal Reflection for Contact-free Activity Recognition,"Wireless sensing techniques for tracking human activities have been vigorously developed in recent years. Yet current RFID based human activity recognition techniques need either direct contact to human body (e.g., attaching RFIDs to users) or specialized hardware (e.g., software defined radios, antenna array). How to wirelessly track human activities using commodity RFID systems without attaching tags to users (i.e., a contact-free scenario) still faces lots of technical challenges. In this paper, we quantify the correlation between RF phase values and human activities by modeling intrinsic characteristics of signal reflection in contact-free scenarios. Based on the signal reflection model, we introduce TACT that can recognize human activities using commodity RFIDs without attaching any RFID tags to users. TACT first reliably detects the presence of human activities and segments phase values. Then, candidate phase segments are classified according to their coarse-grained features (e.g., moving speed, moving distance, activity duration) as well as their fine-grained feature of phase waveform. We deploy and leverage multiple tags to increase the coverage and enhance the robustness of the system. We implement TACT with commodity RFID systems. We invite 12 participants to evaluate our system in various scenarios. The experiment results show that TACT can recognize eight types of human activities with 93.5% precision under different and challenging experiment settings.","Volume 2 Issue 4, December 2018"
