type,abstract,booktitle,date-added,date-modified,doi,isbn,issn,keywords,pages,title,volume,year,bdsk-url-1,author,journal,number,url,bdsk-url-2,archiveprefix,arxivid,eprint,pmid
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:03 +1000,10.1007/s41870-017-0070-3,,25112112,,,Editorial,10,2018,http://link.springer.com/article/10.1007/s41870-017-0070-3,"[{'first': 'M.', 'middle': 'N.', 'last': 'Hoda'}]",International Journal of Information Technology (Singapore),1,http://link.springer.com/article/10.1007/s41870-017-0070-3,https://doi.org/10.1007/s41870-017-0070-3,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:03 +1000,10.1007/s41870-019-00411-w,,25112112,,303--305,Editorial,12,2020,http://link.springer.com/article/10.1007/s41870-019-00411-w,"[{'first': 'M.', 'middle': 'N.', 'last': 'Hoda'}]",International Journal of Information Technology (Singapore),1,http://link.springer.com/article/10.1007/s41870-019-00411-w,https://doi.org/10.1007/s41870-019-00411-w,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:07 +1000,10.1007/s11623-018-0991-4,,,,,Report,42.0,2018,http://link.springer.com/article/10.1007/s11623-018-0991-4,,Datenschutz und Datensicherheit - DuD,8,http://link.springer.com/article/10.1007/s11623-018-0991-4,https://doi.org/10.1007/s11623-018-0991-4,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:07 +1000,10.1007/s11623-015-0516-3,,,,,Report,39.0,2015,http://link.springer.com/article/10.1007/s11623-015-0516-3,,Datenschutz und Datensicherheit - DuD,11,http://link.springer.com/article/10.1007/s11623-015-0516-3,https://doi.org/10.1007/s11623-015-0516-3,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:08 +1000,10.1007/s12652-019-01425-9,,18685145,,3739--3745,Special issue on bio-medical signal processing for smarter mobile healthcare using big data analytics,10,2019,http://link.springer.com/article/10.1007/s12652-019-01425-9,"[{'first': 'Gwanggil', 'last': 'Jeon'}, {'first': 'Awais', 'last': 'Ahmad'}, {'first': 'Salvatore', 'last': 'Cuomo'}, {'first': 'Wei', 'last': 'Wu'}]",Journal of Ambient Intelligence and Humanized Computing,10,http://link.springer.com/article/10.1007/s12652-019-01425-9,https://doi.org/10.1007/s12652-019-01425-9,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/s38314-020-0209-z,,,,16--20,Development of a Fuel Sensor for Identification of Special Components,15,2020,http://link.springer.com/article/10.1007/s38314-020-0209-z,"[{'first': 'Tobias', 'last': ""K{\\'{o}}stner""}, {'first': 'Jens', 'last': 'Staufenbiel'}, {'first': 'Michael', 'last': 'Rossner'}, {'first': ""J{\\'{u}}rgen"", 'last': 'Krahl'}]",ATZelectronics worldwide,6,http://link.springer.com/article/10.1007/s38314-020-0209-z,https://doi.org/10.1007/s38314-020-0209-z,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:00 +1000,10.1007/s11036-019-01428-y,,15728153,,1434--1435,Cognitive Computing for Intelligence Systems,25,2020,http://link.springer.com/article/10.1007/s11036-019-01428-y,"[{'first': 'Huimin', 'last': 'Lu'}, {'first': 'Yujie', 'last': 'Li'}]",Mobile Networks and Applications,4,http://link.springer.com/article/10.1007/s11036-019-01428-y,https://doi.org/10.1007/s11036-019-01428-y,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:03 +1000,10.1007/s11036-019-01279-7,,15728153,,1265--1268,Editorial: Securing Internet of Things Through Big Data Analytics,24,2019,http://link.springer.com/article/10.1007/s11036-019-01279-7,"[{'first': 'Muhammad', 'last': 'Alam'}, {'first': 'Ting', 'last': 'Wu'}, {'first': 'Fazl', 'last': 'Ullah'}, {'first': 'Yuanfang', 'last': 'Chen'}]",Mobile Networks and Applications,4,http://link.springer.com/article/10.1007/s11036-019-01279-7,https://doi.org/10.1007/s11036-019-01279-7,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s35658-020-0209-z,,1862-1791,,26--30,Entwicklung eines Kraftstoffsensors zur Erkennung bestimmter Komponenten,15,2020,http://link.springer.com/article/10.1007/s35658-020-0209-z,"[{'first': 'Tobias', 'last': ""K{\\'{o}}stner""}, {'first': 'Jens', 'last': 'Staufenbiel'}, {'first': 'Michael', 'last': 'Rossner'}, {'first': ""J{\\'{u}}rgen"", 'last': 'Krahl'}]",ATZelektronik,6,http://link.springer.com/article/10.1007/s35658-020-0209-z,https://doi.org/10.1007/s35658-020-0209-z,,,,
article,"EDEN ISS is an H2020 project aimed at testing key technologies for plant cultivation in large-scale closed environments for a future implementation in space habitats. In this light, a Future Exploration Greenhouse has been designed, developed and deployed at the highly isolated German Neumayer III Antarctic Station to simulate the harsh conditions of an extra planetary outpost mission and test a typical space operation scenario. The greenhouse has been equipped with all the systems to control the environmental parameters (temperature, relative humidity, light intensity, etc.), and to accommodate and feed the plants during their lifecycle. A camera system has been implemented for plant status assessment via remote image analysis. A command and data handling system provides the capability to configure the experimental set points via software, and can be controlled by remote operators. A Mission Control Centre has been realized at DLR for remote monitoring and control of the facility. The MCC receives all the telemetry and the images and can make them available to other centres, which have been included in the operations loop to provide expert support to the on-site operator. This paper describes the facility and its capabilities as platform for fresh food production experiments in an extreme environment. It is an extended version of a paper presented at the AIDAA Congress 2019, in the Technical Session “Red Planet Exploration”.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:10 +1000,10.1007/s42496-020-00051-5,,0365-7442,,171--185,The EDEN ISS Facility as Platform for Plant Experiments in Extreme Environments,99,2020,http://link.springer.com/article/10.1007/s42496-020-00051-5,"[{'first': 'Raimondo', 'last': 'Fortezza'}, {'first': 'Antonio', 'last': 'Ceriello'}, {'first': 'Domenico', 'last': '{De Simone}'}, {'first': 'Daniel', 'last': 'Schubert'}, {'first': 'Paul', 'last': 'Zabel'}, {'first': 'Conrad', 'last': 'Zeidler'}, {'first': 'Vincent', 'last': 'Vrakking'}]",Aerotecnica Missili & Spazio,3,http://link.springer.com/article/10.1007/s42496-020-00051-5,https://doi.org/10.1007/s42496-020-00051-5,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:11 +1000,10.1007/s11431-019-1488-y,,1674-7321,,528--530,Van der Waals Epitaxy: A new way for growth of III-nitrides,63,2020,http://link.springer.com/article/10.1007/s11431-019-1488-y,"[{'first': 'Yang', 'last': 'Chen'}, {'first': 'Yu-Ping', 'last': 'Jia'}, {'first': 'Zhi-Ming', 'last': 'Shi'}, {'first': 'Xiao-Juan', 'last': 'Sun'}, {'first': 'Da-Bing', 'last': 'Li'}]",Science China Technological Sciences,3,http://link.springer.com/article/10.1007/s11431-019-1488-y,https://doi.org/10.1007/s11431-019-1488-y,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s12530-018-9229-9,,18686486,,93--94,Evolving sensor systems,9,2018,http://link.springer.com/article/10.1007/s12530-018-9229-9,"[{'first': 'Chrisina', 'last': 'Jayne'}, {'first': 'Nirmalie', 'last': 'Wiratunga'}]",Evolving Systems,2,http://link.springer.com/article/10.1007/s12530-018-9229-9,https://doi.org/10.1007/s12530-018-9229-9,,,,
article,"The ultra-low voltage anode, Na",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:08 +1000,10.1007/s41403-020-00107-9,,2662-5415,,475--483,Scalable Synthesis and Kinetic Studies of Carbon Coated Sodium Titanate: A Promising Ultra-low Voltage Anode for Sodium Ion Battery,5,2020,http://link.springer.com/article/10.1007/s41403-020-00107-9,"[{'first': 'P.', 'middle': 'Laxman Mani', 'last': 'Kanta'}, {'first': 'M.', 'last': 'Venkatesh'}, {'first': 'Satyesh', 'middle': 'Kumar', 'last': 'Yadav'}, {'first': 'Bijoy', 'middle': 'Kumar', 'last': 'Das'}, {'first': 'R.', 'last': 'Gopalan'}]",Transactions of the Indian National Academy of Engineering,3,http://link.springer.com/article/10.1007/s41403-020-00107-9,https://doi.org/10.1007/s41403-020-00107-9,,,,
article,"In Human–Machine Teaming environments, it is important to identify potential performance drops due to cognitive overload. If identified correctly, they can help improve the performance of the human–machine system by offloading some tasks to less cognitively overloaded users. This can help prevent user error that can result in critical failures. Also, it can improve productivity by keeping the human operators at an optimal performance state. This paper explores a new method for identifying user cognitive load by a three-class classification using brain activity data and by applying a convolutional neural network and long short-term memory model. The data collected from a set of cognitive benchmark experiments were used to train the model, which was then tested on two separate datasets consisting of more ecologically valid task environments. We experimented with various models built with different benchmark tasks to explore which benchmark tasks were better suited for the prediction of task shedding events in these compound tasks that are more representative of real-world scenarios. We also show that this method can be extended across-tasks and across-subject pools.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:05 +1000,10.1007/s41133-020-00034-y,,2365-4317,,,Identification of Potential Task Shedding Events Using Brain Activity Data,5,2020,http://link.springer.com/article/10.1007/s41133-020-00034-y,"[{'first': 'Danushka', 'last': 'Bandara'}, {'first': 'Trevor', 'last': 'Grant'}, {'first': 'Leanne', 'last': 'Hirshfield'}, {'first': 'Senem', 'last': 'Velipasalar'}]",Augmented Human Research,1,http://link.springer.com/article/10.1007/s41133-020-00034-y,https://doi.org/10.1007/s41133-020-00034-y,,,,
article,"Heat transfer enhancement in the low Reynolds number condition is increasingly required with the perpetual attempt to integrate and miniaturize electronic devices. The authors have suggested the application of photo-rheological fluid, whose rheological properties change by external photic stimulus, to a coolant of small heat exchangers. High heat transfer state and low pressured drop state can be switched by light irradiation to the fluid according to the demand for heat transfer enhancement.
 This study investigated how the change of viscoelasticity of photosensitive micellar solutions by light irradiation relates to flow structure and heat transfer performance. Flow visualization and heat transfer measurement were conducted using an aqueous solution of surfactant and counterions (cetyl-trimethyl-ammonium bromide/sodium salicylate/ortho-methoxy cinnamic acid) with different light irradiation time in serpentine channels. The results showed that the decrease of the viscoelasticity with light irradiation caused the decrease in heat transfer rate and pressure drop. In the flow visualization, two types of secondary vortex, i.e., a single large-scaled vortex and a pair of counter-rotating vortices, were observed. As the light irradiation time increased, flow unsteadiness diminished, and the frequency in the appearance of a single vortex and fast flow near wall decreased. The decrease in heat transfer rate and pressure drop with light irradiation was ascribed to the deterioration of fluid mixing by flow unsteadiness, the reduction of momentum and thermal diffusion by the decrease in near-wall velocity gradient, and the decrease in the strength of a pair of vortices.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:00 +1000,10.1007/s12572-018-0216-y,,0975-0770,,171--178,Change of flow structure and heat transfer performance of photosensitive micellar solutions with light irradiation,10,2018,http://link.springer.com/article/10.1007/s12572-018-0216-y,"[{'first': 'Shogo', 'last': 'Tsuchikawa'}, {'first': 'Reiko', 'last': 'Kuriyama'}, {'first': 'Ikuya', 'last': 'Sakanaka'}, {'first': 'Takeshi', 'last': 'Enya'}, {'first': 'Kazuya', 'last': 'Tatsumi'}, {'first': 'Kazuyoshi', 'last': 'Nakabe'}]",International Journal of Advances in Engineering Sciences and Applied Mathematics,2,http://link.springer.com/article/10.1007/s12572-018-0216-y,https://doi.org/10.1007/s12572-018-0216-y,,,,
article,"Im Zuge der voranschreitenden Digitalisierung und der damit verbundenen steigenden Verfügbarkeit von digitalen Daten gewinnen geografische Informationssysteme zur Analyse und Verwaltung von Geodaten in vielen technisch-wissenschaftlichen Bereichen, einschließlich der Siedlungswasserwirtschaft, immer mehr an Bedeutung. Rund 90 % der weltweit verfügbaren digitalen Daten wurden allein in den letzten zwei Jahren generiert. Die steigende Verfügbarkeit von digitalen Daten bietet zum einen ein neues Potenzial von Anwendungsmöglichkeiten, andererseits aber für den/die Endbenutzer/in und Planer/in Unklarheiten über den Informationsgehalt. Ziel dieser Arbeit ist es, einen Überblick über georeferenzierte Daten, deren Maßstabsebenen und Verfügbarkeit zu geben. Zudem werden Anwendungsbeispiele, wie sie in der Siedlungswasserwirtschaft zur Einbindung von dezentralen Entwässerungssystemen vorkommen, dargestellt und beschrieben. Neben Untersuchungen der Fließrichtungen und Akkumulation des Regenwassers an der Oberfläche werden auch Methoden gezeigt, welche die Planung von grüner und blauer Infrastruktur erleichtern, um existierende Anlagen, vor allem bei Starkniederschlägen, zu entlasten.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/s00506-019-0581-1,,0945-358X,,337--347,{Einsatzm{\'{o}}glichkeiten von Geoinformationssystemen in der Siedlungswasserwirtschaft am Beispiel Einbindung dezentraler Entw{\'{a}}sserungssysteme zur Entlastung des st{\'{a}}dtischen Abwassernetzes},71,2019,http://link.springer.com/article/10.1007/s00506-019-0581-1,"[{'first': 'Yannick', 'last': 'Back'}, {'first': 'Jonatan', 'last': 'Zischg'}, {'first': 'Magnus', 'last': 'Bremer'}, {'first': 'Martin', 'last': 'Rutzinger'}, {'first': 'Manfred', 'last': 'Kleidorfer'}]",{\'{O}}sterreichische Wasser- und Abfallwirtschaft,7-8,http://link.springer.com/article/10.1007/s00506-019-0581-1,https://doi.org/10.1007/s00506-019-0581-1,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:32:58 +1000,10.1007/s11431-018-9364-8,,1862281X,,361--364,A closed loop 2.65 K hybrid JT cooler for future space application,62,2019,http://link.springer.com/article/10.1007/s11431-018-9364-8,"[{'first': 'Yue', 'middle': 'Xue', 'last': 'Ma'}, {'first': 'Jia', 'last': 'Quan'}, {'first': 'Juan', 'last': 'Wang'}, {'first': 'Yan', 'middle': 'Jie', 'last': 'Liu'}, {'first': 'Jian', 'middle': 'Guo', 'last': 'Li'}, {'first': 'Jing', 'middle': 'Tao', 'last': 'Liang'}]",Science China Technological Sciences,2,http://link.springer.com/article/10.1007/s11431-018-9364-8,https://doi.org/10.1007/s11431-018-9364-8,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:08 +1000,10.1007/s12567-019-00288-2,,18682510,,359--362,Space Lidar and Space Optics,11,2019,http://link.springer.com/article/10.1007/s12567-019-00288-2,"[{'first': 'Andreas', 'last': 'Fix'}, {'first': 'Giampiero', 'last': 'Naletto'}, {'first': 'Ian', 'last': 'Hutchinson'}, {'first': 'Nikos', 'last': 'Karafolas'}, {'first': 'Wolfgang', 'last': 'Riede'}, {'first': 'Arnaud', 'last': 'Heliere'}, {'first': 'Bob', 'last': 'Menzies'}, {'first': 'Haris', 'last': 'Riris'}]",CEAS Space Journal,4,http://link.springer.com/article/10.1007/s12567-019-00288-2,https://doi.org/10.1007/s12567-019-00288-2,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:32:59 +1000,10.1007/s38311-019-0175-3,,,,16--21,Ambient Lighting in New Dimensions,122,2020,http://link.springer.com/article/10.1007/s38311-019-0175-3,"[{'first': 'Frank', 'last': 'Hallitschke'}, {'first': 'Luca', 'last': 'Gioanola'}, {'first': 'Federico', 'last': 'Ramonda'}]",ATZ worldwide,2,http://link.springer.com/article/10.1007/s38311-019-0175-3,https://doi.org/10.1007/s38311-019-0175-3,,,,
article,,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:06 +1000,10.1007/s40857-019-00163-4,,0814-6039,,105--124,News Item,47,2019,http://link.springer.com/article/10.1007/s40857-019-00163-4,,Acoustics Australia,2,http://link.springer.com/article/10.1007/s40857-019-00163-4,https://doi.org/10.1007/s40857-019-00163-4,,,,
article,Seit April 2018 ist terrestrischer Hörfunk im digitalen Übertragungsstandard DAB+ (Digital Audio Broadcasting +) (Linksammlung zum DAB-Standard: ,,2022-07-22 11:32:24 +1000,2022-07-22 11:33:03 +1000,10.1007/s00502-018-0650-3,,0932383X,,481--484,Digitalradio im Standard DAB+ in europaweitem Aufwind,135,2018,http://link.springer.com/article/10.1007/s00502-018-0650-3,"[{'first': 'Gernot', 'last': 'Fischer'}, {'first': 'Matthias', 'middle': 'Markus', 'last': 'Pistrol'}]",Elektrotechnik und Informationstechnik,7,http://link.springer.com/article/10.1007/s00502-018-0650-3,https://doi.org/10.1007/s00502-018-0650-3,,,,
article,"This application is used to provide immediate medical aid. The street mishaps rates are extremely high these days, particularly bikes. Convenient clinical guide can help in sparing lives. This framework means to make the close by clinical focus about the mishap aware of give quick clinical guide. The accelerometer in the android versatile faculties the tilt of the vehicle and in the event that it discovered it is a mishap, it brings the longitude and scope of vehicle utilizing Global Positioning Sensor (GPS) and forward the subtleties to web server utilizing web. Web server has framework that distinguish the closest emergency clinic and police headquarters utilizing the Euclidean separation computation, once the closest medical clinic and police headquarters is shortlisted, web server sends a mishap subtleties to the worry clinic and police headquarters. The Android application in the cell phone will sent instant message with respect to the mishap area to the guardian of the person in question. This framework spares the life of the mishap casualty by shares the specific area of the mishap. In this system we are using accident detect-system that provides an alert message to the authorized people with the help of accelerometer sensor through the help of using android application to get required needs.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:06 +1000,10.1007/978-3-030-65407-8_23,,,,269--284,Mobile App for Accident Detection to Provide Medical Aid,,2021,http://link.springer.com/chapter/10.1007/978-3-030-65407-8_23,"[{'first': 'B.', 'middle': 'K.', 'last': 'Nirupama'}, {'first': 'M.', 'last': 'Niranjanamurthy'}, {'first': 'H.', 'last': 'Asha'}]",Intelligent Computing Paradigm and Cutting-edge Technologies,,http://link.springer.com/chapter/10.1007/978-3-030-65407-8_23,https://doi.org/10.1007/978-3-030-65407-8_23,,,,
article,"This paper demonstrates the measurement of human blood glucose concentration level non-invasively. Existing methods involve invasive monitoring that is painful, cause discomfort and damage to the tissue. Our project aims at developing a non-invasive glucose monitor. This monitor helps to reduce the agony of diabetic patients who require continuous monitoring of glucose and also reduce the spread of infectious diseases caused due to the repeated puncturing on the skin. The device works using Near Infra-Red (NIR) rays that are transmitted and received across the finger. The varying voltages taken at the receiver end are further processed and correlated with the glucose concentration levels, and thus the blood glucose concentration is estimated. The glucose levels obtained are displayed on smartphones through the Internet of Things (IoT). The efficiency and sensitivity of this method make this technique convenient to use.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:05 +1000,10.1007/978-3-030-24322-7_11,,,,82--90,IoT Aided Non-invasive NIR Blood Glucose Monitoring Device,,2020,http://link.springer.com/chapter/10.1007/978-3-030-24322-7_11,"[{'first': 'Anitha', 'last': 'Chinthoju'}, {'first': 'Jaya', 'middle': 'Gayatri', 'last': 'Chekka'}, {'first': 'Ravalika', 'last': 'Nadigepu'}, {'first': 'Harish', 'last': 'Kuchulakanti'}]","Advances in Decision Sciences, Image Processing, Security and Computer Vision",,http://link.springer.com/chapter/10.1007/978-3-030-24322-7_11,https://doi.org/10.1007/978-3-030-24322-7_11,,,,
article,"One of the latest clinical imaging systems investigated today is vein identification. Now, a few devices based on the IR procedure have been carried out for a few days and there is a strong interest in increasing these devices. While the idea behind the IR imaging is fundamental, there are different challenges to be found throughout the structure and execution of a device related to the light frame, the picture obtaining frame and the low-price picture preparing calculations. The significant issue that the specialists are looking at today is inconvenience in finding a workable pace intravenous movement of medication and other therapeutic situations. Blood drops, cuts, rashes, and so on arise because of inadequate vein identification. This is the reason a proof system visible by a non-obtrusive subcutaneous vein has been made totally subject to near-IR imaging and interfaced with a PC to make it useful. A modified webcam (CCD camera) is used to capture the vein images and the MATLAB computer software framework is used to get ready. This framework also applies in the treatment of varicose veins, significant vein thrombosis and vascular disorders, including recognition of finger vein structure and biometric applications.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/978-981-15-9927-9_38,,,,385--395,Finger Vein Pattern Detection Using Neuro Fuzzy System,,2021,http://link.springer.com/chapter/10.1007/978-981-15-9927-9_38,"[{'first': 'E.', 'last': 'Balaraja'}, {'first': 'M.', 'middle': 'K. Mariam', 'last': 'Bee'}]",Emerging Technologies in Data Mining and Information Security,,http://link.springer.com/chapter/10.1007/978-981-15-9927-9_38,https://doi.org/10.1007/978-981-15-9927-9_38,,,,
article,"The fundamental aim of this paper is to show a developed framework that can help the visually impaired for dealing with their daily life activities such as navigation, reading, color detection and currency detection using a cost-effective model. 285 million individuals are assessed to be outwardly disabled around the world: 39 million are visually impaired and 246 have low vision. About 90% of the worlds outwardly hindered live in low-salary settings. Most of those can’t travel freely. Minimum amount of work is done with respect to interior navigation in current solutions, called Electronic Orientation Aids (EOA), potentially because of high cost for instrumentation and constrained capacities. We will likely separate these boundaries by presenting a framework that is generally economical for both the visually impaired and the organizations that prepare their structures. Utilizing RFID labels to set up a location–tagging framework inside structures with the end goal that the visually impaired can utilize RFIDs to find out their area and also for navigational purposes. The whole framework is actualized by utilizing Raspberry Pi Microcontroller running in Universal Windows. Highlighting various technologies and methods with their effective usefulness, design and working challenges and requirements of blind people, we discuss how this cost-effective solution can serve a great help in this undeniably essential social area.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/978-981-15-4936-6_61,,,,555--565,Cost-Effective Solution for Visually Impaired,,2021,http://link.springer.com/chapter/10.1007/978-981-15-4936-6_61,"[{'first': 'Abhinav', 'last': 'Sagar'}, {'first': 'S', 'last': 'Ramani'}, {'first': 'L', 'last': 'Ramanathan'}, {'first': 'S', 'last': 'Rajkumar'}]",Information Management and Machine Intelligence,,http://link.springer.com/chapter/10.1007/978-981-15-4936-6_61,https://doi.org/10.1007/978-981-15-4936-6_61,,,,
article,"Health care is one of the most important agenda in every nation’s economic and social growth. Due to amalgamation in food habits and lifestyle, today’s health care is under tremendous burden because of an increase in chronic diseases. An era of health care is under development due to the fast and accurate diagnosis ability of artificial intelligence from the last 2 years. Due to AI, it is possible in the future to provide cost-effective models in health care at the reach of every patient. The basic motivation behind this paper is to insight some of the AI models of the health care, their future scope, and implementation problems. This study will surely help to identify the thought process behind each model and generate some new guidelines for implementation in the future. These models require certain modifications in terms of data handling, security, image enhancement, and reconstruction. Use of smartphone and wearable devices has increased rapidly, and hence we need to provide a unique solution to society in terms of the new techniques of artificial intelligence.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:07 +1000,10.1007/978-981-15-0633-8_44,,,,463--472,Proactive Preventive and Evidence-Based Artificial Intelligene Models: Future Healthcare,,2020,http://link.springer.com/chapter/10.1007/978-981-15-0633-8_44,"[{'first': 'Kamal', 'middle': 'Kr.', 'last': 'Sharma'}, {'first': 'Shivaji', 'middle': 'D.', 'last': 'Pawar'}, {'first': 'Bandana', 'last': 'Bali'}]",International Conference on Intelligent Computing and Smart Communication 2019,,http://link.springer.com/chapter/10.1007/978-981-15-0633-8_44,https://doi.org/10.1007/978-981-15-0633-8_44,,,,
article,"With the change in time, new technologies are coming into existence. One of them is hand gesture control used by robots. Hand gestures are used to give commands as an input to these robots. These gesture controls are used as input devices to computer systems. These existing systems are costly and unaffordable by general uses. The idea proposed in the article is to make a cheaper version of a hand gesture controller using the Arduino board. The input is given with the help of a pair of ultrasonic sensors. The sensors are used to calculate the changes in the distance of our hand movements while giving the gesture. The Arduino will calculate the changes in distance and recognize the action done by the user. The Arduino will request the system processor to perform the requested action by the user. The time taken to perform basic operations like open, minimize, maximize, play, save, etc., operations are reduced because of this proposed model.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:04 +1000,10.1007/978-981-15-8530-2_45,,,,569--578,Hand Gesture Recognition Control for Computers Using Arduino,,2021,http://link.springer.com/chapter/10.1007/978-981-15-8530-2_45,"[{'first': 'J.', 'middle': 'S.', 'last': 'Vimali'}, {'first': 'Senduru', 'last': 'Srinivasulu'}, {'first': 'J.', 'last': 'Jabez'}, {'first': 'S.', 'last': 'Gowri'}]",Data Intelligence and Cognitive Informatics,,http://link.springer.com/chapter/10.1007/978-981-15-8530-2_45,https://doi.org/10.1007/978-981-15-8530-2_45,,,,
article,"A typical process plant always contains highly flammable, toxic gases and liquids and they cannot be eliminated as they are inherent part of the system. Then, there is a high risk of fire which leads to catastrophic accidents, and so, there arises a need to have a reliable warning system that can warn potential gas leak and fire. Installation of fire detectors and gas detectors is the most reliable warning systems to tackle the early situations that ultimately prevent the accident to occur. Together, both systems come under a name of fire and gas detection system. Selection and installation of fire and gas detectors is a complex process that varies with the plant to plant and difference in processing units and their respective machines layout makes installation of fire and gas detectors really challenging. This review elucidates structured procedure and design considerations of fire and gas detection systems for a process plant involving various operations. Focus is also given on recent trends and advancements in the area of fire and gas detectors selection and installation considering various theoretical, experimental, and simulated analyses using various methods and suggests which type of FGS is relevant and effective for the process plant chosen.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/978-981-15-6852-7_24,,,,271--280,Design of Fire and Gas Detection System for a Process Plant: A Review,,2020,http://link.springer.com/chapter/10.1007/978-981-15-6852-7_24,"[{'first': 'A.', 'last': '{Prashanth Kumar Reddy}'}, {'first': 'E.', 'last': '{Sathwik Reddy}'}, {'first': 'T.', 'middle': 'N. S. S.', 'last': 'Bhaskar'}, {'first': 'Bikarama', 'middle': 'Prasad', 'last': 'Yadav'}, {'first': 'Akshi', 'middle': 'K.', 'last': 'Singh'}]",Advances in Industrial Safety,,http://link.springer.com/chapter/10.1007/978-981-15-6852-7_24,https://doi.org/10.1007/978-981-15-6852-7_24,,,,
article,"A flame and gas identifications framework (FGS) is a hazard relief measure which screens and empowers consistent discovery of lethal or combustible gas discharge and alarms plant work force for starting control activity. Fire and gas detection system only minimizes the risk of fires explosions and toxic releases by warning systems but cannot eliminate their occurrence. Relying on traditional heuristic approaches may not be enough for developing fire and gas detection systems for meeting enhanced safety standards. A three-dimensional analysis of process plant is needed for improved gas detector placement and performance. This paper demonstrates on criteria for selection of detectors and various environmental factors that affect the placement of detectors. This paper examines various design aspects of fire and gas detection and emphasizes on inconsistencies that exist in conventional detector layouts. Further more, it presented the industrially applicable methodology for design of FGS. This paper briefs about how to decide voting logic and set point for detection system and demonstrates on redundancy versus cost for designing a detector system.",,2022-07-22 11:32:24 +1000,2022-07-22 11:33:01 +1000,10.1007/978-981-15-6852-7_13,,,,155--164,Design of Fire and Gas Detection System in Process Industry,,2020,http://link.springer.com/chapter/10.1007/978-981-15-6852-7_13,"[{'first': 'Udbhav', 'last': 'Srivastava'}, {'first': 'Ashish', 'middle': 'K.', 'last': 'Gangola'}, {'first': 'Yash', 'last': 'Dhiman'}, {'first': 'Rishi', 'last': 'Dewan'}]",Advances in Industrial Safety,,http://link.springer.com/chapter/10.1007/978-981-15-6852-7_13,https://doi.org/10.1007/978-981-15-6852-7_13,,,,
