id,title,abstract,"Normal paper? (e.g., not a survey paper, report or proposal)",Using near-infrared?,Mobile?,"Technical? (e.g., not a fundamental study or use a product only)","Involving apparatus? (e.g., not a chip or filter design, or a dataset)",Included?,doi,Remarks
169,Camera-Recognizable and Human-Invisible Labelling for Privacy Protection,"Modern mobile devices, especially smartphones, are widely equipped with cameras, which enable their owners to capture every memorable moment or scenery, such as parties with friends. However, significant privacy concerns are posed by the potential possibility of revealing a large amount of privacy contained by photos, e.g., portrait of a person. World Driven Access Control (WDAC) [1], which triggered by environment signs rather than user operations, provides a privacy access control mechanism for photographed objects (including people and other objects containing sensitive information). WDAC supports several policy label forms which either have impact on the normal appearance of objects or rely on sensors other than camera to sense policy labels. This paper proposes an approach of labelling with a Near Infrared (NIR) label which relies only on camera and has no influence on normal appearance of objects. When an object wears a NIR label, surrounding people are unaware of the existence of the labels. Meanwhile, we design and implement a policy label recognition and policy enforcement system based on Android. The system is able to recognize NIR labels binding to objects, and then enforce privacy policies, such as Gaussian Blur, on these objects to protect their privacy.",,,,,,,10.1109/MSN.2016.066,
170,Capturing individual differences in prefrontal activity with wearable fNIRS for daily use,"Investigating brain functioning in real-word scenarios have a wide range of applications; these require the involvement of several neural engineering technologies. To obtain insights on the usability of easy-to-use wearable and wireless functional near-infrared spectroscopy (fNIRS) devices for investigating brain functioning in real-world situations, we conducted a basic task-based experiment. Neural activities in the left and lateral prefrontal regions were measured while participants were performing n-back working memory task with multiple target modalities and levels of cognitive load. The results indicated that (1) prefrontal activity level at the left and right regions were associated with task performance of the verbal and spatial working memory task, respectively; (2) higher cognitive load helped capture individual differences in functionally relevant neural activities; and (3) removal of physiological noise was essential. The results suggest that with proper signal processing, wearable fNIRS devices can capture individual differences in the prefrontal functional organization. Implications for the application of the wearable fNIRS devices to real-world studies are discussed.",,,,,,,10.1109/HSI49210.2020.9142689,
174,Characterizing spectral signatures for the moisture of grass land,"Planting grass is a common means for the green landscaping. And, irrigation sufficiency is an indispensable issue in the maintenance of grass land. To establish the relationship between spectral characteristics and moisture of grass land after and before irrigation, this study propose to gather the spectral signatures in the grass land of the Golf course using the field portable spectro-radiometers and its corresponding post processing software. Using an irrigation sprinkler in the Greens as the center of test area, there are nine points detected within the scope of a round area in a radius of eight meters. Except for collecting the spectral data using the field spectro-radiometers (GER3700), a soil moisture meter (TDR 300) is also used to measure in-touch the moisture of the grass land as reference. Moreover, a handheld thermal imager is used to detect the surface temperature value of the test points. A variety of measured data for each instrument are analyzed and summarized to build the operational procedures of spectral library for the Golf course. Preliminary experimental results indicate that the near-infrared spectral characteristics of grass are highly correlated with the moisture change. In the future, more experimental data will be collected to create a complete spectral library for the Golf course. Copyright {\copyright} (2013) by the Asian Association on Remote Sensing.",,,,,,,,deployed in the field
177,CIDER: Enabling robustness-power tradeoffs on a computational eyeglass,"The human eye offers a fascinating window into an individual's health, cognitive attention, and decision making, but we lack the ability to continually measure these parameters in the natural environment. The challenges lie in: a) handling the complexity of continuous high-rate sensing from a camera and processing the image stream to estimate eye parameters, and b) dealing with the wide variability in illumination conditions in the natural environment. This paper explores the power-robustness tradeoffs inherent in the design of a wearable eye tracker, and proposes a novel staged architecture that enables graceful adaptation across the spectrum of real-world illumination. We propose CIDER, a system that operates in a highly optimized low-power mode under indoor settings by using a fast Search-Refine controller to track the eye, but detects when the environment switches to more challenging outdoor sunlight and switches models to operate robustly under this condition. Our design is holistic and tackles a) power consumption in digitizing pixels, estimating pupillary parameters, and illuminating the eye via near-infrared, b) error in estimating pupil center and pupil dilation, and c) model training procedures that involve zero effort from a user. We demonstrate that CIDER can estimate pupil center with error less than two pixels (0.6$\,^{\circ}$), and pupil diameter with error of one pixel (0.22mm). Our end-to-end results show that we can operate at power levels of roughly 7mW at a 4Hz eye tracking rate, or roughly 32mW at rates upwards of 250Hz.",,,,,,,10.1145/2789168.2790096,
179,Classification of food powders using handheld NIR spectrometer,"Near Infrared (NIR) spectroscopy is attracting much attention as a fast and non-destructive method for analyzing materials. However, general laboratory NIR spectrometers are not suitable for use at home or in the field due to their sizes and prices. In this paper, we classify 8 common food powders using handheld NIR device with range of 450-1000nm. We develop a machine learning model using spectral data of 8 food powders by 3 supervised classification methods. We have obtained 100% correct classification results and it shows the possibility of ingredient analysis of various foods using handheld NIR device.",,,,,,,10.1109/ICUFN.2017.7993887,
180,Classification of Food Powders with Open Set using Portable VIS-NIR Spectrometer,"Near Infrared (NIR) spectroscopy is fast and non-destructive methods for analyzing materials without pretreatment. Especially as portable NIR spectrometers have been developed, the research of spectral analysis has applied to various open environment and field. In this paper, we classify visually indistinguishable eight food powders using portable VIS-NIR spectrometer with a wavelength range of 450 to 1000 nm with CNN (Convolutional Neural Network), one of the machine learnings. Further we consider open set recognition where unknown classes should be rejected at test time. The proposed CNN model achieved an accuracy of 100% for eight food powders, and 91.2% with open set. Our experimental results demonstrate the potential of material analysis using a portable VIS-NIR spectrometer with machine learning.",,,,,,,10.1109/ICAIIC.2019.8668992,
181,Classification of individual finger movements from right hand using fnirs signals,"Functional near-infrared spectroscopy (fNIRS) is a comparatively new noninvasive, portable, and easy-to-use brain imaging modality. However, complicated dexterous tasks such as individual finger-tapping, particularly using one hand, have been not investigated using fNIRS technology. Twenty-four healthy volunteers participated in the individual finger-tapping experiment. Data were acquired from the motor cortex using sixteen sources and sixteen detectors. In this preliminary study, we applied standard fNIRS data processing pipeline, i.e. optical densities conversation, signal processing, feature extraction, and classification algorithm implementation. Physiological and non-physiological noise is removed using 4th order band-pass Butter-worth and 3rd order Savitzky--Golay filters. Eight spatial statistical features were selected: signal-mean, peak, minimum, Skewness, Kurtosis, variance, median, and peak-to-peak form data of oxygenated haemoglobin changes. Sophisticated machine learning algorithms were applied, such as support vector machine (SVM), random forests (RF), decision trees (DT), AdaBoost, quadratic discriminant analysis (QDA), Artificial neural networks (ANN), k-nearest neighbors (kNN), and extreme gradient boosting (XG-Boost). The average classification accuracies achieved were 0.75 $\pm$ 0.04, 0.75 $\pm$ 0.05, and 0.77 $\pm$ 0.06 using k-nearest neighbors (kNN), Random forest (RF) and XGBoost, respectively. KNN, RF and XGBoost classifiers performed exceptionally well on such a high-class problem. The results need to be further investigated. In the future, a more in-depth analysis of the signal in both temporal and spatial domains will be conducted to investigate the underlying facts. The accuracies achieved are promising results and could open up a new research direction leading to enrichment of control commands generation for fNIRS-based brain-computer interface applications.",,,,,,,10.3390/s21237943,
182,Classifying Major Depressive Disorder Using fNIRS During Motor Rehabilitation,"Major depressive disorder (MDD) has shown to negatively impact physical recovery in a variety of medical events (e.g., stroke and spinal cord injuries). Yet depression assessments, which are typically subjective in nature, are seldom considered to develop or guide rehabilitation strategies. The present study developed a predictive depression assessment technique using functional near-infrared spectroscopy (fNIRS) that can be rapidly integrated or performed concurrently with existing physical rehabilitation tasks. Thirty-one volunteers, including 14 adults clinically diagnosed with MDD and 17 healthy adults, participated in the study. Brain oxy-hemodynamic (HbO) responses were recorded using a 16-channel wearable continuous-wave fNIRS device while the volunteers performed the Grasp and Release Test in four 16-minute blocks. Ten features, extracted from HbO signals, from each channel served as inputs to XGBoost and Random Forest algorithms developed for each block and combination of successive blocks. Top 5 common features resulted in a classification accuracy of 92.6%, sensitivity of 84.8%, and specificity of 91.7% using the XGBoost classifier. This study identified mean HbO, full width half maximum and kurtosis, as specific neuromarkers, for predicting MDD across specific depression-related regions of interests (i.e., dorsolateral and ventrolateral prefrontal cortex). Our results suggest that a wearable fNIRS head probe monitoring specific brain regions, and limiting extraction to few features, can enable quick setup and rapid assessment of depression in patients. The overarching goal is to embed predictive neurotechnology during post-stroke and post-spinal-cord-injury rehabilitation sessions to monitor patients' depression symptomology so as to actively guide decisions about motor therapies.",,,,,,,10.1109/TNSRE.2020.2972270,fNIRS requires a stationary device albeit the probes are wearable
183,Cloud Computing-Based Non-Invasive Glucose Monitoring for Diabetic Care,"Near infrared photoacoustic spectroscopy is utilized for the development of a continuous non-invasive glucose monitoring system for diabetics. A portable embedded system for taking photoacoustic measurements on tissues to estimate glucose concentration is implemented using field programmable gate array (FPGA). The back-end architecture for high-speed data acquisition and de-noising of photoacoustic measurements operates at 274.823 MHz on a Xilinx Virtex-II Pro FPGA. The glucose measurement technique is verified in vitro on glucose solutions and in vivo on tissues, with photoacoustic signal amplitude varying linearly with sample glucose concentration. A kernel-based regression algorithm using multiple features of the photoacoustic signal is used to estimate glucose concentration from photoacoustic measurements. The calibration algorithm provides a superior performance over previous efforts with a mean absolute relative difference of 8.84% and Clarke Error Grid distribution of 92.86% and 7.14% over Zones A and B of the grid. A cloud computing platform for automated monitoring of blood glucose levels is proposed to enable individuals with diabetes to connect with doctors and caretakers. The developed system is connected to the cloud service using a mobile device, which facilitates implementation of computationally intensive calibration tasks and the storage and analysis of measurement data for treatment and monitoring.",,,,,,,10.1109/TCSI.2017.2724012,
184,Cloud thermodynamic phase detection with a 3-channel shortwave infrared polarimeter,"Knowing the thermodynamic phase of a cloud-whether it is composed of spherical water droplets or polyhedral ice crystals-is critical in remote sensing applications and in climate studies. We recently showed that we can determine cloud phase with visible-wavelength sky polarimetry, and in this presentation we extend that method to shortwave infrared wavelength bands near 1.6 microns. We describe the instrument, a passive, three-channel polarimeter with spectral bands at 1550 nm, 1640 nm, and 1700 nm with approximate width of 40 nm and how we are using it in experiments to discriminate between liquid-water and ice clouds. This portable polarimeter measures scattered sunlight using polarizers orientated at 0$\,^{\circ}$, 45‡, and 90$\,^{\circ}$ with respect to the solar vertical scattering plane. It has a 4.9$\,^{\circ}$ field-of-view and a motorized, computer-controlled pan-And-Tilt mount that controls the positioning of the polarimeter so that it can measure any point in the sky.",,,,,,,10.1117/12.2305171,
186,CMOS-compatible silicon nitride spectrometers for lab-on-a-chip spectral sensing,"We report on miniaturized optical spectrometers integrated on a photonic integrated circuit (PIC) platform based on silicon nitride waveguides and fabricated in a CMOS-compatible approach. As compared to a silicon- on-insulator PIC-platform, the usage of silicon nitride allows for operation in the visible and near infrared. Furthermore, the moderately high refractive index contrast in silicon-nitride photonic wire waveguides provides a valuable compromise between compactness, optical loss and sensitivity to phase error. Three generic types of on-chip spectrometers are discussed: the arrayed waveguide grating (AWG) spectrometer, the echelle grating or planar concave grating (PCG) spectrometer and the stationary Fourier transform spectrometer (FTS) spectrometer. Both the design as well as experimental results are presented and discussed. For the FTS spectrometer a specific design is described in detail leading to an ultra-small (0.1 mm2) footprint device with a resolution of 1 nm and a spectral range of 100nm. Examples are given of the usage of these spectrometers in refractive index biosensing, absorption spectroscopy and Raman spectroscopy.",,,,,,,10.1117/12.2234978,
188,Cognitive Workload Quantified by Physiological Sensors in Realistic Immersive Settings,"Cognitive workload changes have been studied and utilized as a means of assessment for engagement and learner's performance during training. Yet, it is unclear how varying levels of simulator immersion affect learner cognitive workload. Wearable sensors allow us to monitor direct physiological changes associated with cognitive workload in real time. This study seeks to utilize multiple physiological and neurological measures: functional near-infrared spectroscopy (fNIRS), eye-tracking, electrodermal activity (EDA), heart rate, and respiratory rate; in order to assess cognitive workload changes during different training conditions. The National Aeronautics and Space Administration's (NASA) Task Load Index (TLX) and flow state scale questionnaires were additionally used to record self-reported cognitive workload and subjective experience. Nine law enforcement trainees participated in different immersions conditions in a law enforcement use-of-force (UOF) simulator. Results from a low immersion condition were compared to results from a high immersion condition. Preliminary comparison between these two conditions suggests that the Index of Cognitive Activity (ICA) and respiration rate were greater in the low immersion condition. However, a notable increase in the oxygenated hemoglobin of the right anterior medial prefrontal cortex was detected via fNIRS. Heart rate also increased between the two conditions. Traditional questionnaires used to measure cognitive load showed no significance between conditions. Compared to self-report subjective metrics, biometrics such as fNIRS were operationally more effective at smaller sample sizes. Not only do these results show that features associated with trainees' workload can viably be collected in realistic simulator settings, but they also suggest that increased immersion in law enforcement simulators may have a measurable effect on biometrics associated with cognitive workload.",,,,,,,10.1007/978-3-030-78114-9_9,
189,Combining images near-infrared and visible data from cameras UAV,"The publication deals with the problem of obtaining the boundaries of objects in images of the near-infrared range. It is difficult for a person to correlate information the IR images with the observed objects. Actual is the task of combining information from all cameras to highlight the stable signs of objects located in the frame. The proposed algorithm implements step-by-step data processing including preprocessing, superresolution, searching for object boundaries and base points in different optical ranges, searching for correspondences between them, transferring object boundaries from stationary system images to mobile monitoring system images. The test data we used video shooting from developed UAV. A group of fixed optical cameras (visible spectrum) and data in the near-infrared spectrum are used as the optical system. The cameras used in our UAV have a low optical resolution (800×600 near-infrared spectrum, 1600×1200 visible range).",,,,,,,10.1117/12.2519538,robot
194,"Compact, Portable, High-Density Functional Near-Infrared Spectroscopy System for Brain Imaging","Advancements in functional near-infrared spectroscopy (fNIRS) neuroimaging have extended its usage from clinical settings to real-life applications. We developed a wearable and wireless fNIRS-based neuroimaging system that can be applied for brain disease diagnostics and during daily life activities. We utilized 128 compact dual-wavelength LEDs of 735 nm and 850 nm and a silicon photodiode (SiPD). The LEDs and SiPD were closely assembled in a 3D-printed flexible configuration holder fitted in a soft neoprene cap. The developed configuration has 128 channels in a 7×7 cm area with source-detector separations ranging from 5 mm to 38 mm, which intends to provide a high-density device. The system acquires data from multiple brain depths to generate a 3D activation image. Short-separation channels provide the physiological noise in the superficial layer, which can be used to enhance fNIRS signals. The experimental data are stored in a USB flash disk attached to the device. We developed software that is connected to the device using Wi-Fi to display the oxyhemoglobin (HbO) and deoxyhemoglobin (HbR) levels in real-time. The system architecture allows the selection of channels and the use of multiple devices simultaneously. The system was tested using a silicone phantom as well as human subjects. The LED intensity is dynamically calibrated within the safety range once the device is set up, so that every channel can acquire stable data. The system provided high-quality signals with a signal-to-noise ratio of more than 64 dB, high optical sensitivity, and dynamic optical range of 140 dB in the phantom test. A sampling rate of 30 Hz was achieved with all the channels used. The system exhibited valid HbO and HbR responses during the arterial occlusion test and a motor task. These results show that the developed system can provide precise, robust, and multi-depth measurements resulting in high-density images. With these novel characteristics, the system favors clinical usage and outdoor activities as well as brain-computer interface applications.",,,,,,,10.1109/ACCESS.2020.3008748,
199,Conditional-GAN Based Data Augmentation for Deep Learning Task Classifier Improvement Using fNIRS Data,"Functional near-infrared spectroscopy (fNIRS) is a neuroimaging technique used for mapping the functioning human cortex. fNIRS can be widely used in population studies due to the technology's economic, non-invasive, and portable nature. fNIRS can be used for task classification, a crucial part of functioning with Brain-Computer Interfaces (BCIs). fNIRS data are multidimensional and complex, making them ideal for deep learning algorithms for classification. Deep Learning classifiers typically need a large amount of data to be appropriately trained without over-fitting. Generative networks can be used in such cases where a substantial amount of data is required. Still, the collection is complex due to various constraints. Conditional Generative Adversarial Networks (CGAN) can generate artificial samples of a specific category to improve the accuracy of the deep learning classifier when the sample size is insufficient. The proposed system uses a CGAN with a CNN classifier to enhance the accuracy through data augmentation. The system can determine whether the subject's task is a Left Finger Tap, Right Finger Tap, or Foot Tap based on the fNIRS data patterns. The authors obtained a task classification accuracy of 96.67% for the CGAN-CNN combination.",,,,,,,10.3389/fdata.2021.659146,
202,COPS - Combined oil quality and particle measurement system,"A miniaturized condition monitoring system for technical fluids was realized to determine the oil quality based on an analysis of the infrared spectrum at different spectral wavelength. It has the ability to detect and quantify oxidation, depletion of additives and water contamination that are responsible for reduced lubricating properties or excessive corrosion in lubricating systems. The system is combined with a particle sensor based on forward and backward scattering of a near infrared laser beam. The scattered light provides information about the particle concentration and can discriminate between air bubbles, dust and metallic particles. A combination of both sensor systems can provide partial self-monitoring. The combination of both principles in inline systems can increase the process safety and reduce costs for laboratory analysis and oil changes. {\copyright} 2012 IEEE.",,,,,,,10.1109/ICSensT.2012.6461742,
211,Decision template fusion for classifying Indian edible oils using singular value decomposition on NIR spectrometry data,"Edible oil is dominant part of human diet and available in various forms in the market. On the other hand, quality assurance in food industry is nowadays an important parameter for public concern and awareness. In this context, this paper presents a discrimination methodology of edible oils such as mustard, olive, rice bran, sunflower and soybean oils using a portable non-destructive near infrared spectrometer (NIR). Two tier approaches are taken for oil discrimination purpose. First is the significant features extraction from each oil's spectrum using singular value decomposition technique and the second one is the classification of oils using multiple classifier combination approach using decision template fusion technique. Support vector machine and multilayer perceptron classifier are also applied here. Experimental results clearly indicate the efficacy of decision template fusion technique with combination of support vector machine and multilayer perceptron classifier as compared to combination of same type of classifier.",,,,,,,10.1109/ICRCICN.2016.7813661,
214,Deep Real-Time Decoding of bimanual grip force from EEG & fNIRS,"Non-invasive cortical neural interfaces have only achieved modest performance in cortical decoding of limb movements and their forces, compared to invasive brain-computer interfaces (BCIs). While non-invasive methodologies are safer, cheaper and vastly more accessible technologies, signals suffer from either poor resolution in the space domain (EEG) or the temporal domain (BOLD signal of functional Near Infrared Spectroscopy, fNIRS). The non-invasive BCI decoding of bimanual force generation and the continuous force signal has not been realised before and so we introduce an isometric grip force tracking task to evaluate the decoding. We find that combining EEG and fNIRS using deep neural networks works better than linear models to decode continuous grip force modulations produced by the left and the right hand. Our multi-modal deep learning decoder achieves 55.2 FVAF[%] in force reconstruction and improves the decoding performance by at least 15% over each individual modality. Our results show a way to achieve continuous hand force decoding using cortical signals obtained with non-invasive mobile brain imaging has immediate impact for rehabilitation, restoration and consumer applications.",,,,,,,10.1109/NER49283.2021.9441409,
215,Deep real-time decoding of bimanual grip force from EEG fNIRS,"Non-invasive cortical neural interfaces have only achieved modest performance in cortical decoding of limb movements and their forces, compared to invasive brain-computer interfaces (BCIs). While non-invasive methodologies are safer, cheaper and vastly more accessible technologies, signals suffer from either poor resolution in the space domain (EEG) or the temporal domain (BOLD signal of functional Near Infrared Spectroscopy, fNIRS). The non-invasive BCI decoding of bimanual force generation and the continuous force signal has not been realised before and so we introduce an isometric grip force tracking task to evaluate the decoding. We find that combining EEG and fNIRS using deep neural networks works better than linear models to decode continuous grip force modulations produced by the left and the right hand. Our multi-modal deep learning decoder achieves 55.2 FVAF[%] in force reconstruction and improves the decoding performance by at least 15% over each individual modality. Our results show a way to achieve continuous hand force decoding using cortical signals obtained with non-invasive mobile brain imaging has immediate impact for rehabilitation, restoration and consumer applications.",,,,,,,10.1109/NER49283.2021.9441409,duplicate
222,Design and Algorithms of the Device to predict Blood Glucose Level based on Saliva Sample using Machine Learning,"Regular tracking of blood glucose level is an integral part of treatment of Diabetes Mellitus, a chronic disease that occurs either when the pancreas does not produce enough insulin. Commercially available devices are involve pricking and analyzing of blood sample. Observing the pain, cost and chance of infection, non-invasive devices to measure blood sugar level are under research and development for the past decade. The paper proposes a method to develop a portable and economic device that can determine the blood glucose level of the patient by analyzing a saliva sample deposited by patient using spectroscopic methods. The device is constructed considering two theories as basis. The first theory is relation of glucose concentration of a solution to the attenuation observed while performing absorption spectroscopy. The second theory is the existence of relation between salivary glucose level and blood glucose level. Using the first theory, a device was constructed which uses NIR spectroscopy to find concentration of glucose in the given solution. The attenuation and concentration have been correlated using Machine Learning, R2=0.96. Data of salivary glucose level and blood glucose level was acquired and correlated using machine learning and R2=0.87. The proposed device requires patient to deposit saliva in a test tube and place it in the device. The device first predicts the glucose concentration of the solution(saliva). The device then uses the correlation between salivary glucose level and blood glucose level to find blood glucose level. The data is displayed and stored in the cloud.",,,,,,,10.1109/ICSSIT46314.2019.8987866,
224,Design and development of a fNIRS system prototype based on SiPM detectors,"Functional Near Infrared Spectroscopy (fNIRS) uses near infrared sources and detectors to measure changes in absorption due to neurovascular dynamics in response to brain activation. The use of Silicon Photomultipliers (SiPMs) in a fNIRS system has been estimated potentially able to increase the spatial resolution. Dedicated SiPM sensors have been designed and fabricated by using an optimized process. Electrical and optical characterizations are presented. The design and implementation of a portable fNIRS embedded system, hosting up to 64 IR-LED sources and 128 SiPM sensors, has been carried out. The system has been based on a scalable architecture whose elementary leaf is a flexible board with 16 SiPMs and 4 couples of LEDs each operating at two wavelengths. An ARM based microcontroller has been joined with a multiplexing interface, able to control power supply for the LEDs and collect data from the SiPMs in a time-sharing fashion and with configurable temporal slots. The system will be validated by using a phantom made by materials of different scattering and absorption indices layered to mimic a human head. A preliminary characterization of the optical properties of the single material composing the phantom has been performed using the SiPM in the diffuse radial reflectance measurement technique. The first obtained results confirm the high sensitivity of such kind of detector in the detection of weak light signal even at large distance between the light source and the detector. {\copyright} 2014 SPIE.",,,,,,,10.1117/12.2037559,
227,Design and Implementation for an Automotive DMS system,"This paper will develop a driving behavior monitoring system that applies a single near-infrared camera to record the driver, detect facial position and convolutional neural network through image recognition for judging whether the driver fatigues, smokes, and uses mobile devices or not. This system employs the NXP S32V234 processor with car grade so as to simultaneously identify a variety of driving behaviors and gaze position of drivers' eyesight. In addition, this system adopts the dual-core APEX-2 visual accelerator to accelerate the mask operation of convolutional neural network and traditional image processing. Comparing to only using CPU, the total average optimization speed is increased by 5 times before optimization.",,,,,,,10.1109/ICCE-TW46550.2019.8991910,car
228,Design and implementation of a low-cost real-time vein imaging for developing countries,"Real-Time Vein Imaging is a device with which we aim to locate the veins in our arms easily for any medical purpose for intravenous (IV) access. Most electronic vein viewers are very expensive or complex in design. Our work presents an affordable, simple designed, easy to use portable device which can overcome the difficulties faced by phlebotomists or doctors during vein puncture. This device can be used irrespective of age, skin color, thickness or collapsed veins. The design of our prototype has been developed to capture the vein images using multispectral near infrared (NIR) source. The veins can be seen and traced on the skin on exposure of NIR making it easy to view and select the right vein and not cause patients unnecessary pain due to multiple punctures. Utilization of this device could help the jobs of the doctors and phlebotomists of developing countries such as Bangladesh.",,,,,,,10.1109/ACMI53878.2021.9528143,
231,Design and realization of a portable multichannel continuous wave fNIRS,"A design and implementation of a portable functional Near InfraRed Spectroscopy embedded system prototype is described. In this theoretical and experimental work, we present an embedded system hosting 64 LED sources and 128 Silicon PhotoMultiplier detectors (SiPM). The elementary part of the structure is a flexible probe 'leaf' consisting of 16 SiPMs, 4 couples of LEDs, each operating at two wavelengths, and a temperature sensor. The hardware system is based on an ARM main microcontroller that allows to perform both the switching time of LEDs and the acquisition of the SiPM outputs. The performed preliminary experimental tests achieved very promising results, thus demonstrating the effectiveness of our fNIRS system.",,,,,,,10.1109/AEIT.2014.7002013,
232,Design and Realization of Blood Oxygen and Heart Rate Sensor Nodes in Wireless Body Area Network,"The blood oxygen saturation (SpO2) and heart rate of the human body contain much important physiological and pathological information, so they are important physiological indexes in biomedical detection. The method of measurement is obtained by detecting numerical pulse wave of the human body. And now to make sensor nodes in wireless body area network (WBAN), real-time monitoring of human health and real-time display, have great significance to the entire human rehabilitation project. Therefore, it has become a very important research direction to detect the pulse wave accurately, quickly and conveniently. In this paper, the sensor nodes for measuring blood oxygen saturation and heart rate are designed based on the near-infrared dynamic spectrum method. The working principle is that the MCU controls light source probe to emit light through body and the transmission light is received by the photodetector, which finishes the completion of the physiological signal to electric signal conversion. Then after a series of signal processing, the signal is sent to the microcontroller for calculation and analysis. The results are transmitted via Wi-Fi module to computer or mobile APP and then display. Through the experimental comparison and data accuracy of quantitative analysis, ultimately it is proved that the feasibility of this scheme is available and the sensor nodes can accurately measure blood oxygen saturation and heart rate values, and transmit these data to the upper monitor which achieves the wireless communication.",,,,,,,10.1109/ICAICA50127.2020.9182480,
233,Design and validation of a one channel near-infrared spectroscopy system for applications in medicine,"Near-infrared spectroscopy (NIRS) is a noninvasive and portable technique to quantify changes of oxy- and deoxy-hemoglobin concentration in tissue. In this paper the development of a continuous wave NIRS instrument is presented. The instrument was designed using a LED emitting light at 750 and 850 nm, that are wavelengths at which the oxy- and deoxy-hemoglobin specifically respond, and a photodetector with an integrated transimpedance amplifier; to complete the prototype, a professional digital acquisition card is used. All the data processing is performed offline. The instrument was tested by measuring total occlusion and total flow in muscle; and in frontal cortex whileperforming a mental task. All recorded an processed signals show the expected physiological behavior. The optical and electronic components commercially available today allow to build inexpensive NIRS systems for application in medicine.",,,,,,,10.1007/978-3-319-13117-7_27,
234,Design of a compact low-power human-computer interaction equipment for hand motion,"Human-Computer Interaction (HCI) raises demand of convenience, endurance, responsiveness and naturalness. This paper describes a design of a compact wearable low-power HCI equipment applied to gesture recognition. System combines multi-mode sense signals: the vision sense signal and the motion sense signal, and the equipment is equipped with the depth camera and the motion sensor. The dimension (40 mm × 30 mm) and structure is compact and portable after tight integration. System is built on a module layered framework, which contributes to real-time collection (60 fps), process and transmission via synchronous confusion with asynchronous concurrent collection and wireless Blue 4.0 transmission. To minimize equipment's energy consumption, system makes use of low-power components, managing peripheral state dynamically, switching into idle mode intelligently, pulse-width modulation (PWM) of the NIR LEDs of the depth camera and algorithm optimization by the motion sensor. To test this equipment's function and performance, a gesture recognition algorithm is applied to system. As the result presents, general energy consumption could be as low as 0.5 W.",,,,,,,10.1117/12.2265214,
236,Design of a miniaturized integrated spectrometer for spectral tissue sensing,"Minimally-invasive image-guided procedures become increasingly used by physicians to obtain real-time characterization feedback from the tissue at the tip of their interventional device (needle, catheter, endoscopic or laparoscopic probes, etc...) which can significantly improve the outcome of diagnosis and treatment, and ultimately reduce cost of the medical treatment. Spectral tissue sensing using compact photonic probes has the potential to be a valuable tool for screening and diagnostic purposes, e.g. for discriminating between healthy and tumorous tissue. However, this technique requires a low-cost broadband miniature spectrometer so that it is commercially viable for screening at point-of-care locations such as physicians' offices and outpatient centers. Our goal is therefore to develop a miniaturized spectrometer based on diffractive optics that combines the functionalities of a visible/near-infrared (VIS/NIR) and shortwave-infrared (SWIR) spectrometer in one very compact housing. A second goal is that the hardware can be produced in high volume at low cost without expensive time consuming alignment and calibration steps. We have designed a miniaturized spectrometer which operates both in the visible/near-infrared and shortwave-infrared wavelength regions ranging from 400 nm to 1700 nm. The visible/near-infrared part of the spectrometer is designed for wavelengths from 400 nm to 800 nm whereas the shortwave-infrared segment ranges from 850 nm to 1700 nm. The spectrometer has a resolution of 6 nm in the visible/near-infrared wavelength region and 10 nm in the shortwave-infrared. The minimum SNR of the spectrometer for the intended application is about 151 in the VIS/NIR range and 6000 for SWIR. In this paper, the modelling and design, and power budget analysis of the miniaturized spectrometer are presented. Our work opens a door for future affordable micro- spectrometers which can be integrated with smartphones and tablets, and used for point-of-care applications. As next steps in the development, we will manufacture the different optical components and experimentally characterize the spectrometer device in more detail.",,,,,,,10.1117/12.2227920,
237,Design of a Smartphone Platform Compact Optical System Operational Both in Visible and Near Infrared Spectral Regime,"We report here the design of a low-cost and field portable smartphone-based compact optical system, which is suitable for applications in the visible (VIS)-near infrared (NIR) spectroscopic region. Using the universal serial bus-on the go protocol, the battery of the smartphone is used to power an external light-emitting diode, and its ambient light sensor (ALS) is used as a photo-detector. Using simple optical arrangements, a collimated light beam of a specific wavelength is allowed to pass through the sample solution, and the transmitted modulated light signal from the sample is received by the ALS of the smartphone. A custom built application “PhotoSense” has been developed, which configures the smartphone to measure intensity variation of the modulated signal into a readable form from the ALS sensor. Further using the same application, the field sensing data can be saved as a text file in the phone memory, and by using the communication facility, it can be shared anywhere in the world. The performance of the designed optical device has been evaluated for the VIS-NIR wavelength region of the incident light by measuring iron(II) and phosphate concentrations in water medium. The sensitivity of the device in measuring iron(II) and phosphate concentrations is found to be in terms of absorbance unit (AU) as 0.189 and 0.274 AU/(mg.L−1), respectively. The limit of detection of the proposed device is found to be 0.053 and 0.069 mg.L−1 for both the analytes.",,,,,,,10.1109/JSEN.2018.2832848,
